transaction_id,user_email,product_name,product_category,quantity,unit_price,discount_percent,discount_amount,shipping_cost,total_price,purchase_date,purchase_time,payment_method,purchase_status,month,year
9ZICH6P5E8N0,liamwendy@gmail.com,bed frame accessories,furniture,1,2994.8,0,0.0,0,2994.8,01/12/2024,04:51:34,stripe,completed,1,2024
1SSGTPK54ZFU,liamwendy@gmail.com,reading light,books,1,56.38,0,0.0,0,56.38,01/15/2024,20:10:16,credit_card,completed,1,2024
CL4AQV8OPJ39,udoelxander@protonmail.com,washing machine,home_appliances,1,1311.29,0,0.0,0,1311.29,01/27/2024,05:23:21,credit_card,completed,1,2024
5NRMCZO8QA8P,viaopaul@gmail.com,thriller novel,books,1,56.1,0,0.0,0,56.1,01/17/2024,18:07:09,credit_card,completed,1,2024
5QUF7SOMUIR3,viaopaul@gmail.com,bookshelf organizers,furniture,1,3692.48,20,738.5,0,2953.99,01/25/2024,12:12:42,stripe,completed,1,2024
8HZB30IQ0TZE,quostwaltton@gmail.com,pet nail clippers,pet_supplies,1,73.14,0,0.0,0,73.14,01/06/2024,20:46:10,paypal,completed,1,2024
D9K8EQZ4MBJN,quostwaltton@gmail.com,mystery novel,books,1,94.5,0,0.0,0,94.5,01/26/2024,18:57:37,paypal,completed,1,2024
H146VZY1M8VP,dorayarason@icloud.com,history book,books,4,130.69,0,0.0,0,522.76,01/31/2024,02:08:13,paypal,completed,1,2024
QAK97GW7URI4,iandeyas@yahoo.com,shoe laces,footwear,1,234.45,0,0.0,0,234.45,01/07/2024,03:59:26,stripe,completed,1,2024
5NDG7X1F31LE,iandeyas@yahoo.com,spatula,kitchenware,1,20.74,0,0.0,10.9,31.64,01/28/2024,08:28:36,paypal,completed,1,2024
47V7WQ34062T,gabedenina@aol.com,pet dental care kit,pet_supplies,5,114.71,0,0.0,0,573.55,01/09/2024,17:41:42,stripe,completed,1,2024
8ECOLFAWO433,gabedenina@aol.com,espresso machine,kitchenware,3,559.8,25,419.85,0,1259.56,01/08/2024,21:35:08,stripe,completed,1,2024
7HEFNYFBVCJA,caipaul@hotmail.com,air purifier filters,home_appliances,1,1834.76,25,458.69,0,1376.07,01/17/2024,06:30:36,stripe,completed,1,2024
DATW4TMIUDFO,willsialey@outlook.com,barbell set,sports_equipment,1,513.71,0,0.0,0,513.71,01/16/2024,10:33:10,stripe,completed,1,2024
GKCQRPGIGZFL,willsialey@outlook.com,tablet,electronics,1,1259.18,0,0.0,0,1259.18,01/05/2024,18:27:35,paypal,completed,1,2024
XFUZNA9OHW5A,zedvonnina@gmail.com,lego storage,toys,1,263.06,0,0.0,0,263.06,01/24/2024,22:06:24,stripe,completed,1,2024
XT3HP6JQI83K,paulderialey@yahoo.com,puzzle storage,toys,1,150.53,10,15.05,0,135.47,01/20/2024,10:21:06,paypal,completed,1,2024
BZ9KD9F1BLI7,paulderialey@yahoo.com,self-help book,books,3,139.66,0,0.0,0,418.98,01/18/2024,23:34:07,stripe,completed,1,2024
41FBK4FHNIGV,rayrita@aol.com,webcam,electronics,1,2091.49,0,0.0,0,2091.49,01/03/2024,06:49:20,paypal,completed,1,2024
3MJ9CMOA6FUG,janefinn@yahoo.com,fitness tracker accessories,sports_equipment,1,1444.84,0,0.0,0,1444.84,01/13/2024,04:38:37,stripe,completed,1,2024
8XDXYIETPH2L,janefinn@yahoo.com,pet waste bags,pet_supplies,1,192.91,0,0.0,0,192.91,01/20/2024,20:30:41,paypal,completed,1,2024
97JB3WCN6HR0,piadiryan@gmail.com,slipper socks,footwear,1,305.28,0,0.0,0,305.28,01/22/2024,17:24:09,credit_card,completed,1,2024
2RRN4AY9GSPI,johnkai@icloud.com,jeans,clothing,1,422.86,0,0.0,0,422.86,01/12/2024,22:32:48,credit_card,completed,1,2024
7JNGHHDCUJTK,johnkai@icloud.com,slippers,footwear,1,498.44,0,0.0,0,498.44,01/08/2024,23:58:25,credit_card,completed,1,2024
3PQ5AEOM3QXP,johnkai@icloud.com,t-shirt,clothing,4,579.87,0,0.0,0,2319.47,01/20/2024,17:17:16,stripe,completed,1,2024
RDHR7X0J5553,johnkai@icloud.com,makeup set,beauty_products,3,189.83,10,56.95,0,512.54,01/09/2024,22:13:45,credit_card,completed,1,2024
EYNF8PVSC6L6,johnkai@icloud.com,pet bed accessories,pet_supplies,1,144.35,0,0.0,0,144.35,01/01/2024,23:23:25,paypal,completed,1,2024
QZD350QN25KF,johnkai@icloud.com,sports gloves,sports_equipment,1,1562.09,0,0.0,0,1562.09,01/18/2024,16:08:26,paypal,completed,1,2024
8KD5L1C08FZN,johnkai@icloud.com,hand cream,beauty_products,1,53.6,0,0.0,0,53.6,01/01/2024,07:19:12,credit_card,completed,1,2024
PLLXIS2RJLQ4,johnkai@icloud.com,book display stand,books,1,79.85,0,0.0,0,79.85,01/29/2024,04:11:19,paypal,completed,1,2024
