first_name,last_name,email,password_hash,phone_number,date_of_birth,time_on_app,user_type,is_active,last_payment_method,reviews,last_ip,last_coordinates,last_device,last_browser,last_os,last_login,last_logout,in_cart,wishlist,last_search,created_date,generated_at,purchase_count,total_spent
Ray,Lebellaley,raylebellaley@protonmail.com,Ht3lNWbazfEuhI8s,3035616164,07/06/2005,21 hours 55 minutes 36 seconds,regular,true,paypal,"[""The way this fantasy novel has changed my life, I could not believe my eyes when I saw this fantasy novel!"", ""I am very happy with the way that this laptop stand has changed my life."", ""The amount of time I have save using this pet training clicker is amazing! I am very happy with this pet training clicker"", ""I am very happy with pressure cooker, it has changed my life.""]",59.149.96.56,"LAT: -63, LONG: 64",ios,chrome,ios,05/02/2023 19:03:35,10/11/2023 21:36:55,"[""pet waste bags"", ""pet leash""]","[""pet nail clippers"", ""pet first aid kit""]",pet toys,04/01/2024,2025-07-31 16:57:57,3,1338.8600000000001
Gabe,Siason,gabesiason@outlook.com,gzEp9i78aaQ7zbbi,8677819491,04/26/1959,65 hours 28 minutes 24 seconds,regular,false,stripe,"[""I am very frustrated with the Customer Service, they kept dropping my calls rice cooker parts."", ""I am cannot believe my eyes when I saw this wrist wraps. I am very happy with this wrist wraps""]",147.220.106.177,"LAT: -41, LONG: 18",windows,firefox,windows,03/25/2022 09:01:29,02/21/2022 04:57:28,"[""jumpsuit"", ""pajamas"", ""accessories""]","[""dress"", ""sweater"", ""t-shirt"", ""jumpsuit""]",blazer,04/01/2024,2025-07-31 16:57:57,4,577.4100000000001
Ula,Ria,ularia@outlook.com,JCBRcUoIJw6Qx1XG,3229945802,07/22/1984,12 hours 52 minutes 11 seconds,premium,true,stripe,"[""Well worth the money on this coat"", ""The amount of time I have save using this makeup bag is amazing! I am very happy with this makeup bag"", ""I want to thank you for this video game console, it has changed my life. I am very happy with this video game console!"", ""The way I was treated, I could not believe my ears. Hope you don't have to go through this shoe storage.""]",13.89.247.200,"LAT: 88, LONG: 70",android,firefox,android,01/14/2022 02:13:19,04/30/2023 19:20:34,"[""cutting board"", ""whisk"", ""espresso machine"", ""tongs"", ""kitchen scale""]","[""ceramic cookware"", ""coffee machine""]",measuring cups,04/01/2024,2025-07-31 16:57:57,0,0
Wan,Mcjanesen,wanmcjanesen@yahoo.com,zXj5rLrfxcOZ8kdC,9796703715,08/11/1951,45 hours 36 minutes 40 seconds,regular,true,credit_card,"[""I am very happy with treadmill, it has changed my life."", ""Well worth the money on this tablet""]",244.103.215.12,"LAT: 4, LONG: -7",windows,chrome,windows,06/27/2023 21:53:05,10/04/2022 04:06:50,"[""puzzle storage"", ""play kitchen"", ""educational toys""]","[""musical instruments for kids"", ""dollhouse""]",video game console,04/01/2024,2025-07-31 16:57:57,5,3832.51
Leo,Latim,leolatim@yahoo.com,6H7mQs2qTaxlsyKV,6069124534,03/05/1956,46 hours 38 minutes 7 seconds,premium,true,credit_card,"[""The way the shoe laces has changed my life, I could not believe my eyes when I saw this shoe laces!"", ""I am very excited to try out this pet training pads. I have heard some many positive things!"", ""I am very happy with book storage box""]",23.0.209.143,"LAT: 17, LONG: -4",windows,firefox,windows,12/19/2024 09:35:25,08/10/2022 12:12:41,"[""pet bed accessories"", ""pet water bowl"", ""pet carrier""]","[""pet training treats""]",pet flea and tick treatment,04/01/2024,2025-07-31 16:57:57,1,91.97
Eva,Aleveton,evaaleveton@gmail.com,Bz5CjAy0qwRwOmpP,8363780573,02/18/1980,56 hours 9 minutes 18 seconds,regular,false,paypal,"[""I am very excited to try out this elliptical machine. I have heard some many positive things!"", ""I am very frustrated with the Customer Service, they kept dropping my calls pet collar."", ""I want to thank you for this pet training treats, it has changed my life. I am very happy with this pet training treats!"", ""The amount of time I have save using this smartphone is amazing! I am very happy with this smartphone""]",11.220.44.21,"LAT: -60, LONG: -48",unknown,firefox,linux,09/15/2023 00:49:13,03/26/2023 10:58:09,"[""skincare set"", ""slippers"", ""hair care set"", ""body lotion""]","[""hand cream"", ""makeup brushes"", ""face mask"", ""nail file"", ""bathrobe""]",nail polish set,04/01/2024,2025-07-31 16:57:57,1,202.95
Cara,Vonzoe,caravonzoe@protonmail.com,BmHh8tkQ4JcvBFkW,3400994384,11/18/1996,75 hours 16 minutes 8 seconds,premium,true,stripe,"[""Wow this is an amazing pet travel bag."", ""I am very happy with coat, it has changed my life."", ""I am very happy with this microwave oven"", ""I am very happy the way that this science kits""]",90.33.13.214,"LAT: 66, LONG: -168",windows,firefox,windows,08/02/2023 21:06:43,08/06/2024 14:01:00,"[""pet grooming gloves""]","[""pet leash"", ""pet collar"", ""pet comb""]",pet food dispenser,04/01/2024,2025-07-31 16:57:57,0,0
Ike,Maclia,ikemaclia@outlook.com,GOzQzbq8HUDt664R,5563777035,12/05/1964,30 hours 4 minutes 52 seconds,regular,true,stripe,"[""I am very frustrated with the Customer Service, they kept dropping my calls vacuum cleaner accessories."", ""My son bought this and he is very happy with this pet collar"", ""I am very satisfied with this winter coat"", ""I am very happy with the way that this flip flops"", ""I am very frustrated with the Customer Service, they kept dropping my calls pet leash.""]",211.104.159.171,"LAT: 39, LONG: 144",ios,chrome,ios,03/10/2023 23:18:38,10/06/2022 15:20:29,"[""apron"", ""kitchen utensils set""]","[""grater"", ""ceramic cookware"", ""cookware set"", ""slotted spoon"", ""apron""]",rice cooker,04/01/2024,2025-07-31 16:57:57,3,29017.13
Ada,Macvivsen,adamacvivsen@aol.com,4ZO6S7upFzcKLYFy,5067820962,10/16/1950,33 hours 24 minutes 28 seconds,premium,true,credit_card,"[""Well worth the money on this grater"", ""I am very happy with pet toys, it has changed my life."", ""I am very happy with waterproof spray""]",239.9.255.8,"LAT: 35, LONG: 123",ios,chrome,ios,09/16/2023 19:28:49,01/09/2022 01:49:42,"[""activewear set"", ""blazer"", ""sweater""]","[""socks"", ""pajamas"", ""trench coat"", ""underwear"", ""skirt""]",sweatshirt,04/01/2024,2025-07-31 16:57:57,0,0
Charlie,Dewan,charliedewan@yahoo.com,TVTyrCMaqTmeS6j8,2617192759,10/03/1980,83 hours 13 minutes 52 seconds,regular,true,paypal,"[""I am very excited to try out this pet nail clippers. I have heard some many positive things!"", ""The way this pajamas has changed my life, I could not believe my eyes when I saw this pajamas!"", ""I am very frustrated with the Customer Service, they kept dropping my calls running shoes."", ""Wow this is an amazing smart lock.""]",129.135.105.220,"LAT: 63, LONG: 81",windows,safari,windows,09/10/2023 20:17:02,02/06/2024 22:32:23,"[""tongs"", ""kitchen towels"", ""food processor"", ""mixing bowls""]","[""spatula"", ""kitchen utensils set"", ""measuring spoons"", ""baking set""]",pressure cooker,04/01/2024,2025-07-31 16:57:57,2,41967.450000000004
